Sito;;
Data e ora del report;2017/6/1 07:50:34   ;Dalla data;2017/5/31 00:00:00  ;Alla data;2017/6/1 00:00:00   ;Frequenza;15 min.;
;temp + hr-camera-Temperatura sonda;temp + hr-camera-Umidità sonda;temp + hr-colon A-Temperatura sonda;temp + hr-colon A-Umidità sonda;temp + hr-colon B-Temperatura sonda;temp + hr-colon B-Umidità sonda;temp + hr-colon C-Temperatura sonda;temp + hr-colon C-Umidità sonda;temp + hr-colon D-Temperatura sonda;temp + hr-colon D-Umidità sonda
2017/5/31 00:15:00  ;22.50     ;56.10     ;30.10     ;38.80     ;29.10     ;39.70     ;28.70     ;41.40     ;29.50     ;39.80     
2017/5/31 00:30:00  ;22.40     ;56.10     ;30.00     ;38.80     ;29.10     ;39.70     ;28.60     ;41.40     ;29.50     ;39.80     
2017/5/31 00:45:00  ;22.40     ;56.10     ;30.00     ;38.80     ;29.00     ;39.70     ;28.60     ;41.40     ;29.40     ;40.30     
2017/5/31 01:00:00  ;22.30     ;56.10     ;29.90     ;38.80     ;28.90     ;39.70     ;28.60     ;41.40     ;29.30     ;40.30     
2017/5/31 01:15:00  ;22.30     ;56.10     ;29.90     ;38.80     ;28.90     ;40.20     ;28.50     ;41.40     ;29.30     ;40.30     
2017/5/31 01:30:00  ;22.30     ;56.10     ;29.80     ;38.80     ;28.80     ;40.20     ;28.40     ;41.40     ;29.20     ;40.30     
2017/5/31 01:45:00  ;22.30     ;56.10     ;29.70     ;38.80     ;28.80     ;40.20     ;28.40     ;41.40     ;29.20     ;40.30     
2017/5/31 02:00:00  ;22.20     ;56.10     ;29.70     ;38.80     ;28.70     ;40.20     ;28.30     ;41.40     ;29.20     ;40.30     
2017/5/31 02:15:00  ;22.20     ;56.10     ;29.60     ;38.80     ;28.70     ;40.20     ;28.30     ;41.40     ;29.10     ;40.30     
2017/5/31 02:30:00  ;22.20     ;56.10     ;29.60     ;38.80     ;28.60     ;40.20     ;28.20     ;41.40     ;29.10     ;40.30     
2017/5/31 02:45:00  ;22.10     ;56.10     ;29.60     ;38.80     ;28.60     ;40.70     ;28.20     ;41.40     ;29.00     ;40.80     
2017/5/31 03:00:00  ;22.10     ;56.10     ;29.50     ;38.80     ;28.50     ;40.70     ;28.20     ;41.40     ;29.00     ;40.80     
2017/5/31 03:15:00  ;22.10     ;56.10     ;29.50     ;38.80     ;28.50     ;40.70     ;28.10     ;41.40     ;28.90     ;40.80     
2017/5/31 03:30:00  ;22.00     ;56.10     ;29.40     ;38.80     ;28.40     ;40.70     ;28.10     ;41.40     ;28.90     ;40.80     
2017/5/31 03:45:00  ;22.00     ;56.10     ;29.30     ;38.80     ;28.40     ;40.70     ;28.00     ;41.40     ;28.90     ;40.80     
2017/5/31 04:00:00  ;21.90     ;56.10     ;29.30     ;38.80     ;28.30     ;40.70     ;28.00     ;41.40     ;28.80     ;40.80     
2017/5/31 04:15:00  ;21.90     ;56.10     ;29.30     ;38.80     ;28.20     ;40.70     ;27.90     ;41.40     ;28.80     ;40.80     
2017/5/31 04:30:00  ;21.90     ;56.10     ;29.20     ;38.80     ;28.20     ;40.70     ;27.90     ;41.40     ;28.70     ;40.80     
2017/5/31 04:45:00  ;21.90     ;56.10     ;29.20     ;39.30     ;28.10     ;41.20     ;27.80     ;41.90     ;28.70     ;41.30     
2017/5/31 05:00:00  ;21.90     ;56.10     ;29.00     ;39.30     ;28.10     ;41.20     ;27.80     ;41.90     ;28.60     ;41.30     
2017/5/31 05:15:00  ;21.80     ;56.10     ;29.00     ;39.30     ;28.00     ;41.20     ;27.70     ;41.90     ;28.50     ;41.30     
2017/5/31 05:30:00  ;21.80     ;56.10     ;28.90     ;39.80     ;27.90     ;41.20     ;27.60     ;41.90     ;28.40     ;41.30     
2017/5/31 05:45:00  ;21.80     ;56.10     ;28.90     ;39.80     ;27.90     ;41.20     ;27.60     ;41.90     ;28.40     ;41.30     
2017/5/31 06:00:00  ;21.70     ;56.10     ;28.80     ;39.80     ;27.80     ;41.70     ;27.60     ;41.90     ;28.30     ;41.30     
2017/5/31 06:15:00  ;21.70     ;56.10     ;28.70     ;39.80     ;27.80     ;41.70     ;27.50     ;42.40     ;28.30     ;41.30     
2017/5/31 06:30:00  ;21.60     ;57.10     ;28.60     ;42.30     ;27.40     ;45.80     ;26.90     ;46.50     ;27.80     ;45.30     
2017/5/31 06:45:00  ;21.60     ;57.60     ;28.50     ;42.80     ;27.20     ;45.80     ;26.70     ;46.50     ;27.60     ;45.30     
2017/5/31 07:00:00  ;21.60     ;57.60     ;28.30     ;43.30     ;27.00     ;45.80     ;26.50     ;47.00     ;27.40     ;45.80     
2017/5/31 07:15:00  ;21.40     ;57.60     ;28.20     ;43.30     ;26.90     ;45.80     ;26.50     ;47.00     ;27.30     ;46.30     
2017/5/31 07:30:00  ;21.40     ;58.10     ;28.20     ;43.80     ;26.90     ;46.30     ;26.40     ;47.50     ;27.30     ;46.80     
2017/5/31 07:45:00  ;21.30     ;58.60     ;28.20     ;44.30     ;27.00     ;46.80     ;26.60     ;48.00     ;27.30     ;47.80     
